Gene-Name	True-Classification
Mesodinium_rubrum|Trans_9442_Len_885_Cov_40.17_OG5_126635	Mesodinium
Mesodinium_rubrum|Trans_10712_Len_255_Cov_10.94_OG5_126994	Cryptophyte
Mesodinium_rubrum|Trans_12356_Len_723_Cov_18.04_OG5_128530	Cryptophyte
Mesodinium_rubrum|Trans_32996_Len_357_Cov_26.01_OG5_129682	Cryptophyte
Mesodinium_rubrum|Trans_18385_Len_573_Cov_34.21_OG5_132225	Mesodinium
Mesodinium_rubrum|Trans_6534_Len_780_Cov_10.98_OG5_128220	Cryptophyte
Mesodinium_rubrum|Trans_833_Len_1683_Cov_47.89_OG5_128616	Cryptophyte
Mesodinium_rubrum|Trans_10708_Len_246_Cov_15.93_OG5_129850	Cryptophyte
Mesodinium_rubrum|Trans_365_Len_2817_Cov_41.67_OG5_126799	Mesodinium
Mesodinium_rubrum|Trans_1229_Len_1653_Cov_24.99_OG5_126753	Cryptophyte
Mesodinium_rubrum|Trans_1018_Len_2079_Cov_61.05_OG5_127979	Mesodinium
Mesodinium_rubrum|Trans_9237_Len_852_Cov_160.61_OG5_129554	Mesodinium
Mesodinium_rubrum|Trans_8693_Len_411_Cov_14.76_OG5_145728	Cryptophyte
Mesodinium_rubrum|Trans_760_Len_1629_Cov_43.13_OG5_127925	Mesodinium
Mesodinium_rubrum|Trans_37478_Len_216_Cov_18.21_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_445_Len_1713_Cov_122.42_OG5_131307	Mesodinium
Mesodinium_rubrum|Trans_16335_Len_453_Cov_459.00_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_4364_Len_918_Cov_44.01_OG5_127844	Cryptophyte
Mesodinium_rubrum|Trans_14561_Len_444_Cov_27.01_OG5_128352	Mesodinium
Mesodinium_rubrum|Trans_1858_Len_1395_Cov_24.93_OG5_128662	Cryptophyte
Mesodinium_rubrum|Trans_9104_Len_912_Cov_164.67_OG5_126780	Mesodinium
Mesodinium_rubrum|Trans_6766_Len_831_Cov_10.86_OG5_126583	Cryptophyte
Mesodinium_rubrum|Trans_1733_Len_1041_Cov_24.45_OG5_133363	Mesodinium
Mesodinium_rubrum|Trans_33715_Len_330_Cov_21.75_OG5_128186	Mesodinium
Mesodinium_rubrum|Trans_51365_Len_210_Cov_34.24_OG5_128457	Cryptophyte
Mesodinium_rubrum|Trans_33446_Len_195_Cov_14.54_OG5_126845	Cryptophyte
Mesodinium_rubrum|Trans_10760_Len_285_Cov_119.21_OG5_127134	Cryptophyte
Mesodinium_rubrum|Trans_465_Len_2448_Cov_12.65_OG5_126880	Cryptophyte
Mesodinium_rubrum|Trans_45372_Len_330_Cov_66.49_OG5_130539	Mesodinium
Mesodinium_rubrum|Trans_4156_Len_1263_Cov_16.95_OG5_126686	Mesodinium
Mesodinium_rubrum|Trans_16602_Len_330_Cov_74.63_OG5_128492	Mesodinium
Mesodinium_rubrum|Trans_13617_Len_660_Cov_226.07_OG5_127514	Mesodinium
Mesodinium_rubrum|Trans_19947_Len_432_Cov_103.73_OG5_126711	Mesodinium
Mesodinium_rubrum|Trans_8134_Len_912_Cov_33.52_OG5_142139	Mesodinium
Mesodinium_rubrum|Trans_1889_Len_1704_Cov_225.21_OG5_130116	Mesodinium
Mesodinium_rubrum|Trans_21728_Len_321_Cov_1698.37_OG5_127273	Mesodinium
Mesodinium_rubrum|Trans_4797_Len_903_Cov_50.53_OG5_126635	Mesodinium
Mesodinium_rubrum|Trans_17699_Len_243_Cov_208.87_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_16142_Len_243_Cov_826.17_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_16985_Len_294_Cov_28.13_OG5_127176	Mesodinium
Mesodinium_rubrum|Trans_18717_Len_561_Cov_62.62_OG5_127692	Mesodinium
Mesodinium_rubrum|Trans_31194_Len_387_Cov_11.10_OG5_145728	Mesodinium
Mesodinium_rubrum|Trans_2399_Len_780_Cov_93.95_OG5_127628	Cryptophyte
Mesodinium_rubrum|Trans_3781_Len_687_Cov_54.07_OG5_145015	Cryptophyte
Mesodinium_rubrum|Trans_3758_Len_561_Cov_12.11_OG5_129395	Cryptophyte
Mesodinium_rubrum|Trans_2271_Len_738_Cov_93.89_OG5_127628	Mesodinium
Mesodinium_rubrum|Trans_14871_Len_732_Cov_2681.69_OG5_126611	Mesodinium
Mesodinium_rubrum|Trans_10354_Len_633_Cov_56.65_OG5_127514	Cryptophyte
Mesodinium_rubrum|Trans_20860_Len_210_Cov_29.83_OG5_128087	Cryptophyte
Mesodinium_rubrum|Trans_3165_Len_930_Cov_14.58_OG5_128751	Mesodinium
Mesodinium_rubrum|Trans_5283_Len_324_Cov_24.96_OG5_127222	Cryptophyte
Mesodinium_rubrum|Trans_9979_Len_495_Cov_115.70_OG5_127022	Cryptophyte
Mesodinium_rubrum|Trans_13926_Len_594_Cov_33.81_OG5_129258	Cryptophyte
Mesodinium_rubrum|Trans_1135_Len_1239_Cov_25.63_OG5_126806	Mesodinium
Mesodinium_rubrum|Trans_11776_Len_540_Cov_125.33_OG5_129970	Mesodinium
Mesodinium_rubrum|Trans_832_Len_1734_Cov_56.18_OG5_133159	Mesodinium
Mesodinium_rubrum|Trans_2925_Len_360_Cov_23.25_OG5_127333	Cryptophyte
Mesodinium_rubrum|Trans_13415_Len_495_Cov_45.51_OG5_127452	Cryptophyte
Mesodinium_rubrum|Trans_8436_Len_249_Cov_13.72_OG5_126760	Cryptophyte
Mesodinium_rubrum|Trans_11845_Len_450_Cov_37.90_OG5_126668	Cryptophyte
Mesodinium_rubrum|Trans_4847_Len_1185_Cov_118.18_OG5_126686	Mesodinium
Mesodinium_rubrum|Trans_25784_Len_537_Cov_35.76_OG5_129584	Mesodinium
Mesodinium_rubrum|Trans_884_Len_702_Cov_57.02_OG5_130283	Cryptophyte
Mesodinium_rubrum|Trans_1365_Len_1404_Cov_23.46_OG5_126785	Cryptophyte
Mesodinium_rubrum|Trans_15391_Len_453_Cov_56.29_OG5_126708	Cryptophyte
Mesodinium_rubrum|Trans_11481_Len_576_Cov_100.77_OG5_126676	Cryptophyte
Mesodinium_rubrum|Trans_691_Len_1158_Cov_12.79_OG5_126934	Cryptophyte
Mesodinium_rubrum|Trans_24650_Len_273_Cov_61.45_OG5_127498	Cryptophyte
Mesodinium_rubrum|Trans_1762_Len_1575_Cov_18.73_OG5_145028	Cryptophyte
Mesodinium_rubrum|Trans_5492_Len_849_Cov_21.96_OG5_127458	Cryptophyte
Mesodinium_rubrum|Trans_1676_Len_1707_Cov_11.38_OG5_126599	Cryptophyte
Mesodinium_rubrum|Trans_3930_Len_1158_Cov_33.40_OG5_138849	Mesodinium
Mesodinium_rubrum|Trans_844_Len_840_Cov_52.83_OG5_126635	Mesodinium
Mesodinium_rubrum|Trans_1352_Len_1119_Cov_204.98_OG5_128215	Mesodinium
Mesodinium_rubrum|Trans_4808_Len_1146_Cov_14.76_OG5_126731	Cryptophyte
Mesodinium_rubrum|Trans_24412_Len_447_Cov_80.80_OG5_126800	Cryptophyte
Mesodinium_rubrum|Trans_18948_Len_243_Cov_217.49_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_6244_Len_1146_Cov_11.40_OG5_127894	Cryptophyte
Mesodinium_rubrum|Trans_16220_Len_654_Cov_153.73_OG5_127128	Cryptophyte
Mesodinium_rubrum|Trans_4567_Len_1104_Cov_11.91_OG5_127264	Mesodinium
Mesodinium_rubrum|Trans_22262_Len_441_Cov_19.88_OG5_126800	Cryptophyte
Mesodinium_rubrum|Trans_1679_Len_1725_Cov_11.26_OG5_129201	Mesodinium
Mesodinium_rubrum|Trans_2883_Len_483_Cov_18.36_OG5_131263	Cryptophyte
Mesodinium_rubrum|Trans_11963_Len_420_Cov_11.52_OG5_140537	Cryptophyte
Mesodinium_rubrum|Trans_4618_Len_1140_Cov_15.40_OG5_127786	Cryptophyte
Mesodinium_rubrum|Trans_12135_Len_528_Cov_97.60_OG5_127876	Mesodinium
Mesodinium_rubrum|Trans_1635_Len_1398_Cov_14.15_OG5_127293	Cryptophyte
Mesodinium_rubrum|Trans_21062_Len_288_Cov_19.26_OG5_132692	Cryptophyte
Mesodinium_rubrum|Trans_6304_Len_984_Cov_49.87_OG5_127812	Mesodinium
Mesodinium_rubrum|Trans_33356_Len_273_Cov_341.14_OG5_126864	Mesodinium
Mesodinium_rubrum|Trans_13445_Len_513_Cov_23.76_OG5_126792	Mesodinium
Mesodinium_rubrum|Trans_3148_Len_405_Cov_14.95_OG5_128752	Cryptophyte
Mesodinium_rubrum|Trans_23816_Len_363_Cov_13.45_OG5_128783	Cryptophyte
Mesodinium_rubrum|Trans_10990_Len_315_Cov_21.09_OG5_127445	Cryptophyte
Mesodinium_rubrum|Trans_7730_Len_585_Cov_14.96_OG5_126830	Mesodinium
Mesodinium_rubrum|Trans_3837_Len_978_Cov_35.22_OG5_126635	Mesodinium
Mesodinium_rubrum|Trans_17535_Len_411_Cov_123.61_OG5_127080	Cryptophyte
Mesodinium_rubrum|Trans_12448_Len_585_Cov_141.87_OG5_132618	Mesodinium
Mesodinium_rubrum|Trans_2814_Len_1218_Cov_21.97_OG5_126775	Cryptophyte
Mesodinium_rubrum|Trans_3222_Len_915_Cov_61.21_OG5_127697	Mesodinium
Mesodinium_rubrum|Trans_2745_Len_1614_Cov_28.36_OG5_127123	Mesodinium
Mesodinium_rubrum|Trans_6282_Len_993_Cov_34.88_OG5_126748	Mesodinium
Mesodinium_rubrum|Trans_5151_Len_1065_Cov_20.05_OG5_127513	Mesodinium
Mesodinium_rubrum|Trans_9337_Len_618_Cov_60.43_OG5_126676	Cryptophyte
Mesodinium_rubrum|Trans_6252_Len_309_Cov_38.92_OG5_134202	Mesodinium
Mesodinium_rubrum|Trans_1089_Len_1470_Cov_16.88_OG5_128216	Mesodinium
Mesodinium_rubrum|Trans_16613_Len_582_Cov_13.78_OG5_127757	Cryptophyte
Mesodinium_rubrum|Trans_6417_Len_645_Cov_181.59_OG5_127628	Mesodinium
Mesodinium_rubrum|Trans_3209_Len_1305_Cov_16.44_OG5_136336	Cryptophyte
Mesodinium_rubrum|Trans_9314_Len_681_Cov_36.04_OG5_144980	Cryptophyte
Mesodinium_rubrum|Trans_24410_Len_237_Cov_720.38_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_16002_Len_438_Cov_14.09_OG5_128600	Cryptophyte
Mesodinium_rubrum|Trans_7151_Len_705_Cov_52.51_OG5_127791	Cryptophyte
Mesodinium_rubrum|Trans_13010_Len_420_Cov_60.79_OG5_127089	Cryptophyte
Mesodinium_rubrum|Trans_4801_Len_1170_Cov_20.01_OG5_126686	Mesodinium
Mesodinium_rubrum|Trans_4664_Len_537_Cov_26.07_OG5_126696	Cryptophyte
Mesodinium_rubrum|Trans_29137_Len_411_Cov_10.20_OG5_129542	Cryptophyte
Mesodinium_rubrum|Trans_10360_Len_285_Cov_17.09_OG5_128689	Cryptophyte
Mesodinium_rubrum|Trans_12502_Len_723_Cov_16.75_OG5_127017	Mesodinium
Mesodinium_rubrum|Trans_2135_Len_1338_Cov_12.96_OG5_138027	Cryptophyte
Mesodinium_rubrum|Trans_11310_Len_489_Cov_37.81_OG5_127430	Cryptophyte
Mesodinium_rubrum|Trans_6945_Len_885_Cov_11.28_OG5_127740	Mesodinium
Mesodinium_rubrum|Trans_1440_Len_1536_Cov_20.45_OG5_126887	Cryptophyte
Mesodinium_rubrum|Trans_163_Len_3498_Cov_47.00_OG5_130228	Mesodinium
Mesodinium_rubrum|Trans_15271_Len_684_Cov_31.03_OG5_128498	Mesodinium
Mesodinium_rubrum|Trans_3678_Len_1302_Cov_34.27_OG5_126894	Cryptophyte
Mesodinium_rubrum|Trans_505_Len_2148_Cov_105.42_OG5_144150	Cryptophyte
Mesodinium_rubrum|Trans_3873_Len_1164_Cov_56.86_OG5_126984	Cryptophyte
Mesodinium_rubrum|Trans_14272_Len_420_Cov_13.34_OG5_127103	Cryptophyte
Mesodinium_rubrum|Trans_885_Len_2331_Cov_43.06_OG5_127203	Mesodinium
Mesodinium_rubrum|Trans_134_Len_3045_Cov_14.53_OG5_135834	Cryptophyte
Mesodinium_rubrum|Trans_10956_Len_669_Cov_21.60_OG5_127352	Cryptophyte
Mesodinium_rubrum|Trans_12062_Len_729_Cov_395.49_OG5_132602	Mesodinium
Mesodinium_rubrum|Trans_3585_Len_1302_Cov_189.46_OG5_130321	Cryptophyte
Mesodinium_rubrum|Trans_1848_Len_1716_Cov_19.67_OG5_128289	Cryptophyte
Mesodinium_rubrum|Trans_4429_Len_987_Cov_12.74_OG5_128806	Cryptophyte
Mesodinium_rubrum|Trans_5230_Len_384_Cov_24.35_OG5_127423	Cryptophyte
Mesodinium_rubrum|Trans_20312_Len_354_Cov_23.06_OG5_131486	Mesodinium
Mesodinium_rubrum|Trans_14717_Len_609_Cov_869.72_OG5_126953	Mesodinium
Mesodinium_rubrum|Trans_13830_Len_687_Cov_206.13_OG5_165283	Mesodinium
Mesodinium_rubrum|Trans_2460_Len_444_Cov_91.49_OG5_132792	Mesodinium
Mesodinium_rubrum|Trans_8403_Len_822_Cov_28.75_OG5_128677	Mesodinium
Mesodinium_rubrum|Trans_7577_Len_930_Cov_37.67_OG5_142139	Mesodinium
Mesodinium_rubrum|Trans_6105_Len_927_Cov_39.99_OG5_127715	Cryptophyte
Mesodinium_rubrum|Trans_7258_Len_777_Cov_16.08_OG5_128336	Cryptophyte
Mesodinium_rubrum|Trans_14090_Len_654_Cov_15.20_OG5_128236	Cryptophyte
Mesodinium_rubrum|Trans_5869_Len_414_Cov_34.07_OG5_130367	Cryptophyte
Mesodinium_rubrum|Trans_1750_Len_1053_Cov_12.67_OG5_126781	Mesodinium
Mesodinium_rubrum|Trans_13574_Len_825_Cov_33.11_OG5_128051	Mesodinium
Mesodinium_rubrum|Trans_4084_Len_1287_Cov_183.85_OG5_135200	Mesodinium
Mesodinium_rubrum|Trans_1439_Len_798_Cov_462.67_OG5_130569	Mesodinium
Mesodinium_rubrum|Trans_5327_Len_879_Cov_19.33_OG5_128245	Cryptophyte
Mesodinium_rubrum|Trans_2632_Len_903_Cov_19.88_OG5_127433	Cryptophyte
Mesodinium_rubrum|Trans_5340_Len_978_Cov_37.28_OG5_126748	Mesodinium
Mesodinium_rubrum|Trans_1699_Len_1380_Cov_17.78_OG5_128443	Cryptophyte
Mesodinium_rubrum|Trans_16380_Len_459_Cov_133.98_OG5_145728	Mesodinium
Mesodinium_rubrum|Trans_6324_Len_732_Cov_21.31_OG5_126885	Mesodinium
Mesodinium_rubrum|Trans_7549_Len_846_Cov_156.66_OG5_127933	Mesodinium
Mesodinium_rubrum|Trans_1183_Len_747_Cov_14.41_OG5_126600	Mesodinium
Mesodinium_rubrum|Trans_18229_Len_393_Cov_66.62_OG5_127299	Mesodinium
Mesodinium_rubrum|Trans_12476_Len_402_Cov_29.11_OG5_127737	Cryptophyte
Mesodinium_rubrum|Trans_12446_Len_405_Cov_313.73_OG5_139545	Cryptophyte
Mesodinium_rubrum|Trans_47491_Len_297_Cov_74.60_OG5_126965	Cryptophyte
Mesodinium_rubrum|Trans_6326_Len_894_Cov_16.65_OG5_126780	Mesodinium
Mesodinium_rubrum|Trans_140_Len_3533_Cov_47.27_OG5_127789	Mesodinium
Mesodinium_rubrum|Trans_29844_Len_213_Cov_29.86_OG5_128262	Cryptophyte
Mesodinium_rubrum|Trans_4809_Len_927_Cov_13.76_OG5_145955	Cryptophyte
Mesodinium_rubrum|Trans_9217_Len_654_Cov_53.11_OG5_127577	Mesodinium
Mesodinium_rubrum|Trans_8226_Len_915_Cov_170.62_OG5_127317	Mesodinium
Mesodinium_rubrum|Trans_2468_Len_1581_Cov_108.99_OG5_128265	Mesodinium
Mesodinium_rubrum|Trans_8316_Len_738_Cov_10.06_OG5_127264	Cryptophyte
Mesodinium_rubrum|Trans_5174_Len_771_Cov_10.04_OG5_127903	Cryptophyte
Mesodinium_rubrum|Trans_22991_Len_450_Cov_637.61_OG5_128884	Mesodinium
Mesodinium_rubrum|Trans_4319_Len_1341_Cov_70.73_OG5_126982	Cryptophyte
Mesodinium_rubrum|Trans_9787_Len_942_Cov_11.44_OG5_127740	Mesodinium
Mesodinium_rubrum|Trans_5447_Len_666_Cov_15.76_OG5_139498	Cryptophyte
Mesodinium_rubrum|Trans_4115_Len_1008_Cov_14.09_OG5_126853	Cryptophyte
Mesodinium_rubrum|Trans_6202_Len_1176_Cov_141.08_OG5_126741	Mesodinium
Mesodinium_rubrum|Trans_9753_Len_354_Cov_50.43_OG5_127887	Cryptophyte
Mesodinium_rubrum|Trans_2737_Len_1188_Cov_11.02_OG5_130237	Cryptophyte
Mesodinium_rubrum|Trans_16988_Len_240_Cov_21.26_OG5_134511	Cryptophyte
Mesodinium_rubrum|Trans_7180_Len_642_Cov_34.57_OG5_131447	Mesodinium
Mesodinium_rubrum|Trans_9309_Len_852_Cov_168.45_OG5_127909	Mesodinium
Mesodinium_rubrum|Trans_4879_Len_1050_Cov_11.57_OG5_127938	Cryptophyte
Mesodinium_rubrum|Trans_5292_Len_615_Cov_10.32_OG5_128031	Cryptophyte
Mesodinium_rubrum|Trans_21323_Len_390_Cov_51.85_OG5_127269	Cryptophyte
Mesodinium_rubrum|Trans_15754_Len_636_Cov_37.76_OG5_126964	Cryptophyte
Mesodinium_rubrum|Trans_30565_Len_402_Cov_15.82_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_279_Len_2913_Cov_126.41_OG5_127334	Cryptophyte
Mesodinium_rubrum|Trans_13400_Len_351_Cov_18.92_OG5_129987	Cryptophyte
Mesodinium_rubrum|Trans_2342_Len_606_Cov_38.46_OG5_126938	Cryptophyte
Mesodinium_rubrum|Trans_2885_Len_1650_Cov_12.48_OG5_126980	Cryptophyte
Mesodinium_rubrum|Trans_8070_Len_852_Cov_10.78_OG5_127001	Mesodinium
Mesodinium_rubrum|Trans_13808_Len_258_Cov_14.94_OG5_137505	Cryptophyte
Mesodinium_rubrum|Trans_2441_Len_1458_Cov_31.04_OG5_128135	Cryptophyte
Mesodinium_rubrum|Trans_30647_Len_297_Cov_157.53_OG5_137505	Cryptophyte
Mesodinium_rubrum|Trans_5129_Len_777_Cov_26.30_OG5_155768	Mesodinium
Mesodinium_rubrum|Trans_17661_Len_480_Cov_30.45_OG5_127339	Cryptophyte
Mesodinium_rubrum|Trans_4590_Len_1287_Cov_31.30_OG5_126686	Mesodinium
Mesodinium_rubrum|Trans_686_Len_1437_Cov_14.79_OG5_147304	Cryptophyte
Mesodinium_rubrum|Trans_969_Len_648_Cov_14.28_OG5_126939	Cryptophyte
Mesodinium_rubrum|Trans_29588_Len_468_Cov_38.04_OG5_127430	Mesodinium
Mesodinium_rubrum|Trans_7396_Len_996_Cov_18.42_OG5_128904	Mesodinium
Mesodinium_rubrum|Trans_12112_Len_267_Cov_17.73_OG5_129070	Cryptophyte
Mesodinium_rubrum|Trans_5239_Len_588_Cov_195.77_OG5_139545	Cryptophyte
Mesodinium_rubrum|Trans_8580_Len_987_Cov_29.89_OG5_126748	Mesodinium
Mesodinium_rubrum|Trans_14597_Len_660_Cov_13.37_OG5_128539	Cryptophyte
Mesodinium_rubrum|Trans_12595_Len_348_Cov_24.00_OG5_131486	Mesodinium
Mesodinium_rubrum|Trans_744_Len_2112_Cov_120.40_OG5_144150	Cryptophyte
Mesodinium_rubrum|Trans_3078_Len_1038_Cov_17.61_OG5_130530	Cryptophyte
Mesodinium_rubrum|Trans_2220_Len_1191_Cov_17.99_OG5_126758	Cryptophyte
Mesodinium_rubrum|Trans_29347_Len_225_Cov_639.43_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_9241_Len_213_Cov_30.98_OG5_130791	Cryptophyte
Mesodinium_rubrum|Trans_2310_Len_564_Cov_19.19_OG5_129553	Mesodinium
Mesodinium_rubrum|Trans_2300_Len_1356_Cov_15.67_OG5_128002	Cryptophyte
Mesodinium_rubrum|Trans_136_Len_2910_Cov_23.03_OG5_126779	Cryptophyte
Mesodinium_rubrum|Trans_3905_Len_1377_Cov_14.11_OG5_127123	Mesodinium
Mesodinium_rubrum|Trans_14019_Len_543_Cov_114.38_OG5_139545	Cryptophyte
Mesodinium_rubrum|Trans_9018_Len_531_Cov_106.16_OG5_127198	Cryptophyte
Mesodinium_rubrum|Trans_4423_Len_1326_Cov_1683.93_OG5_126611	Mesodinium
Mesodinium_rubrum|Trans_41470_Len_216_Cov_56.06_OG5_128087	Cryptophyte
Mesodinium_rubrum|Trans_3428_Len_846_Cov_41.38_OG5_126693	Cryptophyte
Mesodinium_rubrum|Trans_67_Len_3015_Cov_21.34_OG5_126779	Cryptophyte
Mesodinium_rubrum|Trans_2717_Len_1572_Cov_450.80_OG5_127998	Mesodinium
Mesodinium_rubrum|Trans_19108_Len_294_Cov_67.86_OG5_144756	Mesodinium
Mesodinium_rubrum|Trans_55144_Len_210_Cov_373.56_OG5_128257	Cryptophyte
Mesodinium_rubrum|Trans_1525_Len_1677_Cov_16.19_OG5_128505	Cryptophyte
Mesodinium_rubrum|Trans_23466_Len_411_Cov_120.17_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_5125_Len_1182_Cov_964.13_OG5_128505	Mesodinium
Mesodinium_rubrum|Trans_16534_Len_477_Cov_94.14_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_3328_Len_1548_Cov_18.51_OG5_127123	Mesodinium
Mesodinium_rubrum|Trans_21060_Len_393_Cov_35.89_OG5_147623	Mesodinium
Mesodinium_rubrum|Trans_15119_Len_261_Cov_14.53_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_392_Len_2550_Cov_43.92_OG5_126999	Cryptophyte
Mesodinium_rubrum|Trans_2340_Len_1416_Cov_31.84_OG5_127057	Cryptophyte
Mesodinium_rubrum|Trans_3032_Len_1374_Cov_287.38_OG5_129935	Mesodinium
Mesodinium_rubrum|Trans_14720_Len_462_Cov_34.48_OG5_137147	Mesodinium
Mesodinium_rubrum|Trans_352_Len_2286_Cov_90.95_OG5_126926	Cryptophyte
Mesodinium_rubrum|Trans_7242_Len_798_Cov_30.48_OG5_128073	Cryptophyte
Mesodinium_rubrum|Trans_138_Len_2652_Cov_19.60_OG5_128359	Cryptophyte
Mesodinium_rubrum|Trans_1970_Len_1119_Cov_17.68_OG5_128742	Cryptophyte
Mesodinium_rubrum|Trans_3936_Len_1290_Cov_161.06_OG5_129322	Mesodinium
Mesodinium_rubrum|Trans_3742_Len_591_Cov_16.58_OG5_129022	Cryptophyte
Mesodinium_rubrum|Trans_13398_Len_261_Cov_27.98_OG5_130517	Cryptophyte
Mesodinium_rubrum|Trans_6480_Len_294_Cov_28.08_OG5_126613	Cryptophyte
Mesodinium_rubrum|Trans_19238_Len_513_Cov_65.29_OG5_127452	Mesodinium
Mesodinium_rubrum|Trans_18465_Len_348_Cov_12.31_OG5_126800	Mesodinium
Mesodinium_rubrum|Trans_20774_Len_240_Cov_49.94_OG5_126866	Mesodinium
Mesodinium_rubrum|Trans_2346_Len_891_Cov_27.86_OG5_127106	Cryptophyte
Mesodinium_rubrum|Trans_15649_Len_429_Cov_39.97_OG5_132792	Mesodinium
Mesodinium_rubrum|Trans_4266_Len_1326_Cov_2364.47_OG5_126611	Mesodinium
Mesodinium_rubrum|Trans_28115_Len_414_Cov_188.48_OG5_126659	Cryptophyte
Mesodinium_rubrum|Trans_3139_Len_1581_Cov_23.35_OG5_137548	Mesodinium
Mesodinium_rubrum|Trans_4935_Len_1242_Cov_34.62_OG5_126686	Mesodinium
Mesodinium_rubrum|Trans_1046_Len_585_Cov_20.79_OG5_127064	Cryptophyte
Mesodinium_rubrum|Trans_11915_Len_597_Cov_162.70_OG5_126993	Cryptophyte
Mesodinium_rubrum|Trans_11689_Len_315_Cov_18.01_OG5_126613	Cryptophyte
Mesodinium_rubrum|Trans_1616_Len_753_Cov_37.83_OG5_126641	Cryptophyte
Mesodinium_rubrum|Trans_1594_Len_1245_Cov_10.15_OG5_127797	Cryptophyte
Mesodinium_rubrum|Trans_5596_Len_738_Cov_94.91_OG5_126953	Cryptophyte
Mesodinium_rubrum|Trans_16917_Len_495_Cov_92.73_OG5_127430	Mesodinium
Mesodinium_rubrum|Trans_9622_Len_594_Cov_23.27_OG5_126676	Cryptophyte
Mesodinium_rubrum|Trans_7823_Len_1014_Cov_114.88_OG5_132317	Mesodinium
